LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/100,29.37815260887146,661.0000330209732,160.5220153101236,113.0260904208,22.5,5.794223785400391,25.52481191755621,5.686543706611646e-05,1.9356369279988195e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/101,14.794594764709473,332.8732216358185,76.31606686226223,-355.18228414559997,22.5,5.794223785400391,26.966143640987855,3.286221201228881e-06,2.221230965425104e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/102,76.67349481582642,1725.1237642765045,508.85727948193016,-206.03616482880005,22.5,5.794223785400391,0.0,0.00012339650265671482,1.6093762642894969e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/103,73.56129145622253,1655.1075893640516,397.5422376000197,-208.2191665752,22.5,5.794223785400391,26.857320627303224,0.00011223001929171208,1.5256667884698831e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/104,18.01987051963806,405.43781161308294,94.84739781654571,-168.45813476639998,22.5,5.794223785400391,28.477413067761415,2.0191032273945618e-05,1.1204870896237254e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/105,59.93598389625549,1348.5442954301834,327.95807207806325,81.510065208,22.5,5.794223785400391,24.699965485795172,0.00010697163817327555,1.7847648644332778e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/106,17.06456160545349,383.94444465637207,89.18069021040537,-349.490279592,22.5,5.794223785400391,26.60154836190626,7.522940542362732e-06,4.4085167356180727e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/107,48.463505268096924,1090.4111766815186,261.5133911940111,-161.49012919200004,22.5,5.794223785400391,28.25887922888555,7.243562086026201e-05,1.4946426276752564e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/108,25.839605808258057,581.3843232393265,140.09729440842148,5.535004427999971,22.5,5.794223785400391,28.70835736950212,4.423754780987745e-05,1.7120055212196622e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/109,57.68378210067749,1297.8656941652298,314.7604445365269,-27.434021947199994,22.5,5.794223785400391,28.08802303353953,9.645585798650996e-05,1.672148643411804e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/110,46.87319326400757,1054.627515077591,252.49034850463252,-331.8672654936,22.5,5.794223785400391,20.06236311189934,5.934210257308533e-05,1.2660136517443593e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/111,19.241436004638672,432.9246014356613,101.85100976848845,-142.38211390559997,22.5,5.794223785400391,28.042669058537573,2.3876381323260897e-05,1.2408835451524951e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/112,33.830886125564575,761.1820739507675,186.3389233358048,54.64204371360001,22.5,5.794223785400391,3.3981873084818837,6.0979672394503005e-05,1.8024852251334687e-06,0.042682926829268296
